site,watershed_code_50k_parsed
197555,349-248100-65800-00000-0000-0000-000-000-000-000-000-000
197555,349-248100-65800-00000-0000-0000-000-000-000-000-000-000
197555,349-248100-65800-00000-0000-0000-000-000-000-000-000-000
197555,349-248100-65800-00000-0000-0000-000-000-000-000-000-000
197559,349-248100-48800-00000-0000-0000-000-000-000-000-000-000
197559,349-248100-48800-00000-0000-0000-000-000-000-000-000-000
197533,349-248100-48800-00000-0000-0000-000-000-000-000-000-000
197533,349-248100-48800-00000-0000-0000-000-000-000-000-000-000
62423,349-248100-46000-00000-0000-0000-000-000-000-000-000-000
62423,349-248100-46000-00000-0000-0000-000-000-000-000-000-000
62426,349-248100-46000-00000-0000-0000-000-000-000-000-000-000
62425,349-248100-46000-00000-0000-0000-000-000-000-000-000-000
62425,349-248100-46000-00000-0000-0000-000-000-000-000-000-000
50159,
50159,
50155,
50155,
50155,
50155,
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
62516,
62516,
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50155,
50155,
197542,349-248100-26600-00000-0000-0000-000-000-000-000-000-000
197542,349-248100-26600-00000-0000-0000-000-000-000-000-000-000
197582,349-248100-26600-00000-0000-0000-000-000-000-000-000-000
50181,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50181,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50152,349-248100-21200-22500-0000-0000-000-000-000-000-000-000
50152,349-248100-21200-22500-0000-0000-000-000-000-000-000-000
197534,349-248100-51000-00000-0000-0000-000-000-000-000-000-000
197534,349-248100-51000-00000-0000-0000-000-000-000-000-000-000
50261,349-248100-39300-94600-0000-0000-000-000-000-000-000-000
50261,349-248100-39300-94600-0000-0000-000-000-000-000-000-000
50181,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50181,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
50185,349-248100-13900-05700-0000-0000-000-000-000-000-000-000
